Language;Category;Level;Question;Option1;Option2;Option3;Option4;CorrectAnswer;Difficulty
Java;Type;Advanced;Hogyan hozhatsz létre tömböt Java-ban?;new kulcsszóval;create kulcsszóval;array kulcsszóval;make kulcsszóval;new kulcsszóval;2
Java;Type;Advanced;Melyik típus képviseli a karakterláncot Java-ban?;String;char;text;Array;String;2
Java;Type;Advanced;Hogyan definiálható egy konstans Java-ban?;final kulcsszóval;const kulcsszóval;static kulcsszóval;constant kulcsszóval;final kulcsszóval;2
Java;Type;Advanced;Mi az alapértelmezett értéke egy boolean változónak Java-ban?;false;true;;Nincs alapértelmezett értéke;false;2
Java;Type;Advanced;Mit jelent a char típus Java-ban?;Egy karaktert tárol;Egy sztringet tárol;Egy számot tárol;Egyik sem;Egy karaktert tárol;2
Java;Loop;Advanced;Mit csinál a continue utasítás Java-ban?;Átugrik a következõ iterációra;Befejezi a ciklust;Kilép a metódusból;Egyik sem;Átugrik a következõ iterációra;2
Java;Loop;Advanced;Hogyan iterálhatsz egy kollekción keresztül Java-ban?;for-each;while;stream;Egyik sem;for-each;2
Java;Loop;Advanced;Hogyan lehet kilépni egy több szintû ciklusból Java-ban?;Címkézett break utasítással;Egyszerû break-kel;continue utasítással;Egyik sem;Címkézett break utasítással;2
Java;Loop;Advanced;Hogyan kezdhetsz új iterációt egy Java ciklusban?;continue;break;return;switch;continue;2
Java;Loop;Advanced;Hogyan iterálhatsz egy kollekción keresztül Java-ban?;for-each;while;stream;Egyik sem;for-each;2
Java;Loop;Advanced;Hogyan lehet kilépni egy több szintû ciklusból Java-ban?;Címkézett break utasítással;Egyszerû break-kel;continue utasítással;Egyik sem;Címkézett break utasítással;2
Java;Loop;Advanced;Melyik Java ciklus alkalmas fix számú iterációra?;for;while;foreach;do-while;for;2
Java;Loop;Advanced;Hogyan definiálsz végtelen ciklust Java-ban?;while(true);"for(;;)";Mindkettõ;Egyik sem;Mindkettõ;2
Java;OOP;Advanced;Hogyan hívod meg a szuperosztály konstruktorát?;super() hívásával;this() hívásával;base() hívásával;Egyik sem;super() hívásával;2
Java;OOP;Advanced;Hogyan definiálsz egy absztrakt metódust Java-ban?;Az abstract kulcsszóval;A static kulcsszóval;A private kulcsszóval;Egyik sem;Az abstract kulcsszóval;2
Java;OOP;Advanced;Mi az enkapszuláció Java-ban?;Az adatok és metódusok elrejtése;Metódusok és tulajdonságok egyesítése;Osztályok öröklése;Polimorfizmus;Az adatok és metódusok elrejtése;2
Java;OOP;Advanced;Mit jelent a default access modifier Java-ban?;Package-private;Public;Private;Protected;Package-private;2
Java;OOP;Advanced;Mi az enkapszuláció Java-ban?;Az adatok és metódusok elrejtése;Metódusok és tulajdonságok egyesítése;Osztályok öröklése;Polimorfizmus;Az adatok és metódusok elrejtése;2
Java;Methods;Advanced;Mi a különbség a metódus túlterhelése (overloading) és felüldefiniálása (overriding) között?;A túlterhelés különbözõ paramétereket használ;A felüldefiniálás más metódusnevet igényel;Nincs különbség;Egyik sem;A túlterhelés különbözõ paramétereket használ;2
Java;Methods;Advanced;Mi történik, ha egy metódus hibát dob Java-ban?;Try-catch blokkban kezelheted;A program leáll;A hiba figyelmen kívül marad;Egyik sem;Try-catch blokkban kezelheted;2
Java;DataStructures;Advanced;Hogyan iterálhatsz egy listán Java-ban?;Iterator használatával;while ciklussal;if utasítással;Egyik sem;Iterator használatával;2
Java;DataStructures;Advanced;Melyik Java gyûjtemény nem engedélyez duplikátumokat?;HashSet;ArrayList;LinkedList;Queue;HashSet;2
Java;DataStructures;Advanced;Mi a stack viselkedése Java-ban?;LIFO (Last In, First Out);FIFO (First In, First Out);Véletlenszerû hozzáférés;Egyik sem;LIFO (Last In, First Out);2
Java;DataStructures;Advanced;Melyik Java osztály használható prioritási sorrendhez?;PriorityQueue;HashMap;HashSet;Vector;PriorityQueue;2
Java;DataStructures;Advanced;Melyik Java gyûjtemény garantálja az elemek sorrendjét?;ArrayList;HashMap;HashSet;PriorityQueue;ArrayList;2
Java;DataStructures;Advanced;Mi a stack viselkedése Java-ban?;LIFO (Last In, First Out);FIFO (First In, First Out);Véletlenszerû hozzáférés;Egyik sem;LIFO (Last In, First Out);2
Javascript;Type;Advanced;Mi a különbség a 'let' és a 'var' között?;'let' blokkszintû, 'var' függvényszintû;'let' csak egyszer használható;'var' nem inicializálható;Egyik sem;'let' blokkszintû, 'var' függvényszintû;3
Javascript;Type;Advanced;Hogyan hozhatsz létre objektumot JavaScript-ben?;A '{}' szintaxissal;A 'new object()' szintaxissal;Mindkettõ;Egyik sem;A '{}' szintaxissal;3
Javascript;Type;Advanced;Mit jelent az undefined érték JavaScript-ben?;Egy változót deklaráltak, de nem inicializálták;Egy változót inicializáltak, de null értékû;Hibát jelent;Egyik sem;Egy változót deklaráltak, de nem inicializálták;3
Javascript;Type;Advanced;Hogyan hozhatsz létre objektumot JavaScript-ben?;A '{}' szintaxissal;A 'new object()' szintaxissal;Mindkettõ;Egyik sem;A '{}' szintaxissal;3
Javascript;Type;Advanced;Melyik operátor teszteli az érték és a típus azonosságát?;===;==;=;!==;===;3
Javascript;Type;Advanced;Hogyan hozhatsz létre objektumot JavaScript-ben?;A '{}' szintaxissal;A 'new object()' szintaxissal;Mindkettõ;Egyik sem;A '{}' szintaxissal;3
Javascript;Loop;Advanced;Hogyan definiálhatsz végtelen ciklust JavaScript-ben?;while(true);"for(;;)";Mindkettõ;Egyik sem;while(true);3
Javascript;Loop;Advanced;Melyik utasítás használható a ciklus megszakítására?;break;continue;return;stop;break;3
Javascript;Loop;Advanced;Melyik ciklus biztosítja, hogy legalább egyszer lefut?;do-while;while;for;foreach;do-while;3
Javascript;Loop;Advanced;Melyik utasítás használható a ciklus megszakítására?;break;continue;return;stop;break;3
Javascript;Loop;Advanced;Hogyan iterálhatsz egy tömbön JavaScript-ben?;for...of;while;if;do-while;for...of;3
Javascript;Loop;Advanced;Mit jelent a nested loop?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;3
Javascript;Loop;Advanced;Hogyan iterálhatsz egy tömbön JavaScript-ben?;for...of;while;if;do-while;for...of;3
Javascript;OOP;Advanced;Mit jelent az osztály JavaScript-ben?;Egy sablon objektumok létrehozásához;Egy változó típus;Egy funkció típusa;Egyik sem;Egy sablon objektumok létrehozásához;3
Javascript;OOP;Advanced;Mit jelent a constructor metódus?;Egy osztály inicializáló metódusa;Egy statikus metódus;Egy privát metódus;Egyik sem;Egy osztály inicializáló metódusa;3
Javascript;OOP;Advanced;Mit jelent az osztály JavaScript-ben?;Egy sablon objektumok létrehozásához;Egy változó típus;Egy funkció típusa;Egyik sem;Egy sablon objektumok létrehozásához;3
Javascript;OOP;Advanced;Mit jelent az osztály JavaScript-ben?;Egy sablon objektumok létrehozásához;Egy változó típus;Egy funkció típusa;Egyik sem;Egy sablon objektumok létrehozásához;3
Javascript;Methods;Advanced;Hogyan definiálsz egy nyílfüggvényt (arrow function)?;() => {};function() {};=> function();function => {};() => {};3
Javascript;Methods;Advanced;Hogyan biztosítod, hogy egy függvény mindig ugyanazt az értéket adja vissza?;Tisztán funkcionális (pure function);Statikus metódussal;Privát változóval;Egyik sem;Tisztán funkcionális (pure function);3
Javascript;DataStructures;Advanced;Melyik JavaScript adatszerkezet garantálja a sorrendet?;Array;Set;Object;Map;Array;3
Javascript;DataStructures;Advanced;Melyik JavaScript adatszerkezet garantálja a sorrendet?;Array;Set;Object;Map;Array;3
Javascript;DataStructures;Advanced;Mit jelent a stack viselkedése?;LIFO (Last In, First Out);FIFO (First In, First Out);Rendezés;Egyik sem;LIFO (Last In, First Out);3
Javascript;DataStructures;Advanced;Melyik JavaScript adatszerkezet garantálja a sorrendet?;Array;Set;Object;Map;Array;3
Javascript;DataStructures;Advanced;Melyik adatszerkezet nem engedélyez duplikált elemeket?;Set;Array;Map;Object;Set;3
Javascript;DataStructures;Advanced;Melyik JavaScript adatszerkezet garantálja a sorrendet?;Array;Set;Object;Map;Array;3
Javascript;DataStructures;Advanced;Mit jelent a stack viselkedése?;LIFO (Last In, First Out);FIFO (First In, First Out);Rendezés;Egyik sem;LIFO (Last In, First Out);3
Python;Type;Advanced; Mi a True típusa Pythonban?; int; float; str; bool; bool;0
Python;Type;Advanced; Mi a következõ  kód kimenete? isinstance(3.14, int); True; False; Error; None; False;0
Python;Type;Advanced; Mi a különbség a list és a tuple között Pythonban?;A lista módosítható, a tuple nem;A tuple módosítható, a lista nem;Mindkett? módosítható;Egyik sem módosítható;A lista módosítható, a tuple nem;0
Python;Type;Advanced;" Mi a következõ  kód kimenete? isinstance(""hello"", str)"; True; False; Error; None; True;0
Python;Loop;Advanced; Hogyan járod be egy lista elemeit Pythonban?; for item in list:; for item of list:; foreach item in list:; while item in list:; for item in list:;0
Python;Loop;Advanced; Hogyan iterálsz egy szótár kulcsain Pythonban?; for key in dict:; for key in dict.keys():;for key, value in dict.items():; for key in dict.values():; for key in dict.keys():;0
Python;Loop;Advanced; Hogyan iterálsz egy tuple elemein Pythonban?; for item in tuple:; for item of tuple:; for item from tuple:; for item through tuple:; for item in tuple:;0
Python;Loop;Advanced; Hogyan iterálsz egy lista elemein Pythonban?; for item in list:; for item of list:; for item from list:; for item through list:; for item in list:;0
Python;OOP;Advanced; Hogyan hívod meg egy szül? osztály metódusát Pythonban?; super().method(); parent().method(); base().method(); superclass().method(); super().method();0
Python;OOP;Advanced; Mi a különbség az osztály és a példány változó között Pythonban?;Az osztály változó az összes példány számára közös;Az osztály változó csak az egyik példány számára elérhet?;Az osztály változó csak olvasható;Az osztály változó nem módosítható;Az osztály változó az összes példány számára közös;0
Python;OOP;Advanced; Mi a következõ  kód kimenete? class A: def __init__(self): self.x = 1 class B(A): def __init__(self): super().__init__() self.y = 2 b = B() print(b.x, b.y); 1 2; 1 1; 2 2; Error; 1 2;1
Python;OOP;Advanced; Mi a különbség az osztály és a példány metódus között Pythonban?;Az osztály metódus az összes példány számára elérhet?;Az osztály metódus csak egy példány számára elérhet?;Az osztály metódus csak olvasható;Az osztály metódus nem módosítható;Az osztály metódus az összes példány számára elérhet?;1
Python;Methods;Advanced; Mi az a lambda függvény Pythonban?; Egy kicsi névtelen függvény; Egy nagy névvel rendelkez? függvény; Egy metódus egy osztályban; Egy függvény több visszatérési értékkel; Egy kicsi névtelen függvény;1
Python;Methods;Advanced; Mi a különbség a metódus és a függvény között Pythonban?;A metódus egy osztályban van, a függvény pedig nem;A metódus és a függvény ugyanaz;A metódus globális, a függvény pedig helyi;A metódus olvasható, a függvény pedig írható;A metódus egy osztályban van, a függvény pedig nem;1
Python;Methods;Advanced; Mi a következõ  kód kimenete? def subtract(a, b=1): return a - b print(subtract(5));4;5; Error; None;4;1
Python;Methods;Advanced; Mi a következõ  kód kimenete? def multiply(a, b=2): return a * b print(multiply(3));6;3; Error; None;6;1
Python;DataStructures;Advanced; Mi a következõ  kód kimenete? my_list = [1, 2, 3] my_list.append(4) print(my_list);[1, 2, 3];[1, 2, 3, 4];[1, 2, 3, 4, 5];[1, 2, 3, 5];[1, 2, 3, 4];1
Python;DataStructures;Advanced; Hogyan egyesítesz két listát Pythonban?; list1 + list2; list1 & list2; list1 | list2; list1.add(list2); list1 + list2;1
Python;DataStructures;Advanced; Hogyan egyesetesz két szótárt Pythonban?; dict1.update(dict2); dict1 + dict2; dict1 & dict2; dict1 | dict2; dict1.update(dict2);1
Python;DataStructures;Advanced; Hogyan távolítasz el egy elemet egy szótárból Pythonban?; del my_dict['a']; remove my_dict['a']; my_dict.pop('a'); discard my_dict['a']; del my_dict['a'];1
Sql;Type;Advanced;Melyik adattípus használható dátumok tárolására?;DATE;INT;VARCHAR;TEXT;DATE;3
Sql;Type;Advanced;Mit jelent a NULL érték SQL-ben?;Egy ismeretlen vagy hiányzó értéket;Egy nulla számot;Egy üres stringet;Egyik sem;Egy ismeretlen vagy hiányzó értéket;3
Sql;Type;Advanced;Mit tárol a BOOLEAN adattípus?;Igaz/hamis értékeket;Egész számokat;Dátumokat;Szövegeket;Igaz/hamis értékeket;3
Sql;Type;Advanced;Melyik adattípus használható dátumok tárolására?;DATE;INT;VARCHAR;TEXT;DATE;3
Sql;Type;Advanced;Mit jelent a DEFAULT érték SQL-ben?;Egy alapértelmezett értéket ad meg;Egy adattípus nevét adja meg;Egy táblanevet ad meg;Egyik sem;Egy alapértelmezett értéket ad meg;3
Sql;Type;Advanced;Melyik adattípus tárolja a lebegõpontos számokat?;FLOAT;INT;CHAR;BOOLEAN;FLOAT;3
Sql;Type;Advanced;Mit tárol a BOOLEAN adattípus?;Igaz/hamis értékeket;Egész számokat;Dátumokat;Szövegeket;Igaz/hamis értékeket;3
Sql;Type;Advanced;Mit jelent a DECIMAL adattípus SQL-ben?;Pontos tizedesértékek tárolása;Csak egész számok tárolása;Egy szöveges érték tárolása;Egyik sem;Pontos tizedesértékek tárolása;3
Sql;Type;Advanced;Melyik adattípus tárolja a lebegõpontos számokat?;FLOAT;INT;CHAR;BOOLEAN;FLOAT;3
Sql;Type;Advanced;Melyik adattípus használható nagy szövegek tárolására?;TEXT;INT;FLOAT;BOOLEAN;TEXT;3
Sql;Query;Advanced;Mit csinál a WHERE klauzula SQL-ben?;Szûri a sorokat a megadott feltétel alapján;Összegzi az adatokat;Csoportosítja az adatokat;Rendezést végez;Szûri a sorokat a megadott feltétel alapján;4
Sql;Query;Advanced;Mi a különbség az INNER JOIN és a LEFT JOIN között?;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;Nincs különbség;A LEFT JOIN csak a közös sorokat adja vissza;Az INNER JOIN az összes sort visszaadja;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;4
Sql;Query;Advanced;Mire használható a GROUP BY klauzula SQL-ben?;Sorok csoportosítására;Táblák törlésére;Táblák összekapcsolására;Egyik sem;Sorok csoportosítására;4
Sql;Query;Advanced;Hogyan írnál egy SQL lekérdezést, amely az 'employees' tábla összes sorát megjeleníti?;"SELECT * FROM employees;";"SHOW * FROM employees;";"DISPLAY employees;";"SELECT ALL FROM employees;";"SELECT * FROM employees;";4
Sql;Query;Advanced;Mi a különbség az INNER JOIN és a LEFT JOIN között?;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;Nincs különbség;A LEFT JOIN csak a közös sorokat adja vissza;Az INNER JOIN az összes sort visszaadja;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;4
Sql;Query;Advanced;Hogyan írnál egy SQL lekérdezést, amely az 'employees' tábla összes sorát megjeleníti?;"SELECT * FROM employees;";"SHOW * FROM employees;";"DISPLAY employees;";"SELECT ALL FROM employees;";"SELECT * FROM employees;";4
Sql;DDL;Advanced;Hogyan nevezel át egy táblát SQL-ben?;"ALTER TABLE tábla_neve RENAME TO új_név;";"CHANGE TABLE tábla_neve TO új_név;";"RENAME TABLE új_név;";"UPDATE TABLE tábla_neve;";"ALTER TABLE tábla_neve RENAME TO új_név;";4
Sql;DDL;Advanced;Mire használható a CREATE utasítás?;Új tábla létrehozására;Adatok frissítésére;Adatok törlésére;Táblák rendezésére;Új tábla létrehozására;4
Sql;DDL;Advanced;Hogyan törölsz egy táblát SQL-ben?;"DROP TABLE tábla_neve;";"DELETE TABLE tábla_neve;";"REMOVE TABLE tábla_neve;";"CLEAR TABLE tábla_neve;";"DROP TABLE tábla_neve;";4
Sql;DDL;Advanced;Mit jelent az ALTER utasítás?;Egy meglévõ tábla módosítása;Egy tábla törlése;Egy új adatbázis létrehozása;Adatok beszúrása;Egy meglévõ tábla módosítása;4
Sql;DML;Advanced;Hogyan adsz hozzá új adatokat egy táblához SQL-ben?;"INSERT INTO tábla_neve;";"ADD ROW tábla_neve;";"UPDATE tábla_neve;";"CREATE ROW tábla_neve;";"INSERT INTO tábla_neve;";4
Sql;DML;Advanced;Hogyan törölheted az összes sort egy táblából, de megõrizheted a szerkezetét?;"TRUNCATE TABLE tábla_neve;";"DELETE TABLE tábla_neve;";"REMOVE TABLE tábla_neve;";"CLEAR TABLE tábla_neve;";"TRUNCATE TABLE tábla_neve;";4
Sql;DML;Advanced;Hogyan törölsz adatokat SQL-ben?;"DELETE FROM tábla_neve;";"REMOVE ROW tábla_neve;";"CLEAR ROWS tábla_neve;";"TRUNCATE tábla_neve;";"DELETE FROM tábla_neve;";4
Sql;DML;Advanced;Mit jelent az UPSERT SQL-ben?;Adatok beszúrása vagy frissítése;Adatok törlése;Adatok másolása;Adatok átmásolása másik táblába;Adatok beszúrása vagy frissítése;4
Sql;DML;Advanced;Mit jelent az UPDATE utasítás?;Adatok frissítése egy táblában;Adatok törlése;Új oszlopok hozzáadása;Táblák törlése;Adatok frissítése egy táblában;4
Sql;DML;Advanced;Hogyan számolhatod meg a táblában lévõ sorokat?;"SELECT COUNT(*) FROM tábla_neve;";"COUNT ROWS tábla_neve;";"CALCULATE ROWS tábla_neve;";"SUM ROWS tábla_neve;";"SELECT COUNT(*) FROM tábla_neve;";4
Sql;DML;Advanced;Hogyan adsz hozzá új adatokat egy táblához SQL-ben?;"INSERT INTO tábla_neve;";"ADD ROW tábla_neve;";"UPDATE tábla_neve;";"CREATE ROW tábla_neve;";"INSERT INTO tábla_neve;";4
Sql;DML;Advanced;Hogyan számolhatod meg a táblában lévõ sorokat?;"SELECT COUNT(*) FROM tábla_neve;";"COUNT ROWS tábla_neve;";"CALCULATE ROWS tábla_neve;";"SUM ROWS tábla_neve;";"SELECT COUNT(*) FROM tábla_neve;";4
Sql;Indexes;Advanced;Mire használhatók az indexek SQL-ben?;Lekérdezések gyorsítására;Táblák törlésére;Adatok másolására;Adatok rendezésére;Lekérdezések gyorsítására;4
Sql;Indexes;Advanced;Hogyan hozhatsz létre egy indexet egy táblához?;"CREATE INDEX index_név ON tábla_neve (oszlop);";"ADD INDEX TO tábla_neve;";"NEW INDEX tábla_neve;";"CREATE ON INDEX tábla_neve;";"CREATE INDEX index_név ON tábla_neve (oszlop);";4
Sql;Indexes;Advanced;Hogyan törölhetsz egy indexet SQL-ben?;"DROP INDEX index_név;";"DELETE INDEX index_név;";"REMOVE INDEX index_név;";"TRUNCATE INDEX index_név;";"DROP INDEX index_név;";4
Sql;Indexes;Advanced;Milyen típusú indexek léteznek SQL-ben?;Primary, Unique, és Composite;Only Unique;Only Primary;Egyik sem;Primary, Unique, és Composite;4
Sql;Indexes;Advanced;Hogyan törölhetsz egy indexet SQL-ben?;"DROP INDEX index_név;";"DELETE INDEX index_név;";"REMOVE INDEX index_név;";"TRUNCATE INDEX index_név;";"DROP INDEX index_név;";4
Sql;Indexes;Advanced;Milyen típusú indexek léteznek SQL-ben?;Primary, Unique, és Composite;Only Unique;Only Primary;Egyik sem;Primary, Unique, és Composite;4
Sql;Indexes;Advanced;Hogyan biztosítod, hogy egy oszlopban ne legyenek duplikált értékek?;UNIQUE kulcsszóval;INDEX kulcsszóval;PRIMARY kulcsszóval;FOREIGN kulcsszóval;UNIQUE kulcsszóval;4
Sql;Indexes;Advanced;Hogyan hozhatsz létre egy indexet egy táblához?;"CREATE INDEX index_név ON tábla_neve (oszlop);";"ADD INDEX TO tábla_neve;";"NEW INDEX tábla_neve;";"CREATE ON INDEX tábla_neve;";"CREATE INDEX index_név ON tábla_neve (oszlop);";4
Sql;Indexes;Advanced;Mire használhatók az indexek SQL-ben?;Lekérdezések gyorsítására;Táblák törlésére;Adatok másolására;Adatok rendezésére;Lekérdezések gyorsítására;4
C#;Type;Beginner;Melyik C# típus használható logikai értékekhez?;bool;int;string;double;bool;1
C#;Type;Beginner;Mi a különbség az értéktípusok és a referenciatípusok között C#-ban?;Értéktípusok a stacken tárolódnak, referenciatípusok a heapen;Nincs különbség;Mindkettõ a stacken tárolódik;Értéktípusok csak null értéket vehetnek fel;Értéktípusok a stacken tárolódnak, referenciatípusok a heapen;1
C#;Type;Beginner;Hogyan jelöljük a null értéket elfogadó típust C#-ban?;Egy '?' operátor hozzáadásával;A 'nullable' kulcsszóval;A 'null' kulcsszóval;Egyik sem;Egy '?' operátor hozzáadásával;1
C#;Type;Beginner;Mit jelent az unboxing C#-ban?;Referenciatípus átalakítása értéktípussá;Értéktípus átalakítása referenciatípussá;Tömb létrehozása;Egyik sem;Referenciatípus átalakítása értéktípussá;1
C#;Type;Beginner;Mi a különbség a float és a double között C#-ban?;A double nagyobb pontosságú;Nincs különbség;A float nagyobb pontosságú;Mindkettõ ugyanazt jelenti;A double nagyobb pontosságú;1
C#;Type;Beginner;Mi a különbség a Tuple és a ValueTuple között?;A ValueTuple olvashatóbb és hatékonyabb;Nincs különbség;A Tuple módosítható, a ValueTuple nem;A Tuple gyorsabb, mint a ValueTuple;A ValueTuple olvashatóbb és hatékonyabb;1
C#;Type;Beginner;Hogyan definiálsz generikus osztályt C#-ban?;Az osztálynév után <T>-t használva;Az osztálynév után []-t használva;Az osztálynév után {}-t használva;Csak örökléssel definiálható generikus osztály;Az osztálynév után <T>-t használva;1
C#;Loop;Beginner;Hogyan lehet kilépni egy több szintû ciklusból?;Címkézett 'break' utasítással;Egyszerû 'break'-kel;continue utasítással;Egyik sem;Címkézett 'break' utasítással;1
C#;Loop;Beginner;Mi történik, ha egy végtelen ciklus nem tartalmaz 'break' utasítást?;A program végtelenül fut;A program leáll;A ciklus automatikusan befejezõdik;Hibát dob;A program végtelenül fut;1
C#;OOP;Beginner;Mit csinál az 'override' kulcsszó C#-ban?;Alaposztály metódusait módosítja;Megakadályozza az öröklést;Új osztályt hoz létre;Egyik sem;Alaposztály metódusait módosítja;2
